number,season,episode,airdate,title,tvmaze_link
122,11,9,02 Mar 16,"The Gang Goes to Hell: Part 1","https://www.tvmaze.com/episodes/552219/its-always-sunny-in-philadelphia-11x09-the-gang-goes-to-hell-part-1"
123,11,10,09 Mar 16,"The Gang Goes to Hell: Part 2","https://www.tvmaze.com/episodes/552220/its-always-sunny-in-philadelphia-11x10-the-gang-goes-to-hell-part-2"
124,12,1,04 Jan 17,"The Gang Turns Black","https://www.tvmaze.com/episodes/982770/its-always-sunny-in-philadelphia-12x01-the-gang-turns-black"
125,12,2,11 Jan 17,"The Gang Goes to a Water Park","https://www.tvmaze.com/episodes/1009073/its-always-sunny-in-philadelphia-12x02-the-gang-goes-to-a-water-park"
126,12,3,18 Jan 17,"Old Lady House: A Situation Comedy","https://www.tvmaze.com/episodes/1009074/its-always-sunny-in-philadelphia-12x03-old-lady-house-a-situation-comedy"
127,12,4,25 Jan 17,"Wolf Cola: A Public Relations Nightmare","https://www.tvmaze.com/episodes/1009075/its-always-sunny-in-philadelphia-12x04-wolf-cola-a-public-relations-nightmare"
128,12,5,01 Feb 17,"Making Dennis Reynolds a Murderer","https://www.tvmaze.com/episodes/1019138/its-always-sunny-in-philadelphia-12x05-making-dennis-reynolds-a-murderer"
129,12,6,08 Feb 17,"Hero or Hate Crime?","https://www.tvmaze.com/episodes/1019139/its-always-sunny-in-philadelphia-12x06-hero-or-hate-crime"
130,12,7,15 Feb 17,"PTSDee","https://www.tvmaze.com/episodes/1019140/its-always-sunny-in-philadelphia-12x07-ptsdee"
131,12,8,22 Feb 17,"The Gang Tends Bar","https://www.tvmaze.com/episodes/1019141/its-always-sunny-in-philadelphia-12x08-the-gang-tends-bar"
132,12,9,01 Mar 17,"A Cricket's Tale","https://www.tvmaze.com/episodes/1019142/its-always-sunny-in-philadelphia-12x09-a-crickets-tale"
133,12,10,08 Mar 17,"Dennis' Double Life","https://www.tvmaze.com/episodes/1019143/its-always-sunny-in-philadelphia-12x10-dennis-double-life"
134,13,1,05 Sep 18,"The Gang Makes Paddy's Great Again","https://www.tvmaze.com/episodes/1486725/its-always-sunny-in-philadelphia-13x01-the-gang-makes-paddys-great-again"
135,13,2,12 Sep 18,"The Gang Escapes","https://www.tvmaze.com/episodes/1519183/its-always-sunny-in-philadelphia-13x02-the-gang-escapes"
136,13,3,19 Sep 18,"The Gang Beats Boggs: Ladies Reboot","https://www.tvmaze.com/episodes/1519871/its-always-sunny-in-philadelphia-13x03-the-gang-beats-boggs-ladies-reboot"
137,13,4,26 Sep 18,"Time's Up for the Gang","https://www.tvmaze.com/episodes/1519872/its-always-sunny-in-philadelphia-13x04-times-up-for-the-gang"
138,13,5,03 Oct 18,"The Gang Gets New Wheels","https://www.tvmaze.com/episodes/1525020/its-always-sunny-in-philadelphia-13x05-the-gang-gets-new-wheels"
139,13,6,10 Oct 18,"The Gang Solves the Bathroom Problem","https://www.tvmaze.com/episodes/1528563/its-always-sunny-in-philadelphia-13x06-the-gang-solves-the-bathroom-problem"
140,13,7,17 Oct 18,"The Gang Does a Clip Show","https://www.tvmaze.com/episodes/1532573/its-always-sunny-in-philadelphia-13x07-the-gang-does-a-clip-show"
141,13,8,24 Oct 18,"Charlie's Home Alone","https://www.tvmaze.com/episodes/1537756/its-always-sunny-in-philadelphia-13x08-charlies-home-alone"
142,13,9,31 Oct 18,"The Gang Wins the Big Game","https://www.tvmaze.com/episodes/1537757/its-always-sunny-in-philadelphia-13x09-the-gang-wins-the-big-game"
143,13,10,07 Nov 18,"Mac Finds His Pride","https://www.tvmaze.com/episodes/1537782/its-always-sunny-in-philadelphia-13x10-mac-finds-his-pride"
144,14,1,25 Sep 19,"The Gang Gets Romantic","https://www.tvmaze.com/episodes/1674515/its-always-sunny-in-philadelphia-14x01-the-gang-gets-romantic"
145,14,2,02 Oct 19,"Thunder Gun 4: Maximum Cool","https://www.tvmaze.com/episodes/1701017/its-always-sunny-in-philadelphia-14x02-thunder-gun-4-maximum-cool"
146,14,3,09 Oct 19,"Dee Day","https://www.tvmaze.com/episodes/1701018/its-always-sunny-in-philadelphia-14x03-dee-day"
147,14,4,16 Oct 19,"The Gang Chokes","https://www.tvmaze.com/episodes/1701019/its-always-sunny-in-philadelphia-14x04-the-gang-chokes"
148,14,5,23 Oct 19,"The Gang Texts","https://www.tvmaze.com/episodes/1701021/its-always-sunny-in-philadelphia-14x05-the-gang-texts"
149,14,6,30 Oct 19,"The Janitor Always Mops Twice","https://www.tvmaze.com/episodes/1701022/its-always-sunny-in-philadelphia-14x06-the-janitor-always-mops-twice"
150,14,7,06 Nov 19,"The Gang Solves Global Warming","https://www.tvmaze.com/episodes/1701023/its-always-sunny-in-philadelphia-14x07-the-gang-solves-global-warming"
